bank,raw_tx_id,booking_date,amount_eur,concept,category,cat_method,nota
caixa,169355d14a2d4162,2026-03-12,-8582.5,UME,Sonido/Luces,user,"NO es UME: es PROFESIONAL DJ (Sonido, Iluminación y Publicidad Profesional SL, Murcia) — cabina DJ, pedido 98063 (8.508 + 74,50 sin justificar). FALTA FACTURA (Borja debe dar el email del pedido a Israel García)."
caixa,c31217f2c0e07579,2026-04-16,189.99,UME,Financiero,user,
caixa,3bdc11228d4b634f,2026-04-30,-1126.85,CNX 0001176170,Obra,user,
caixa,b9617999ab468431,2026-04-30,-1126.85,CNX 0001176170,Obra,user,
caixa,1e0679049508fa79,2026-04-30,-542.71,ALIEXPRESS,Equipamiento,user,
caixa,8edb0e96f17f440b,2026-05-01,1126.85,TRANSF. A SU FAVOR,Obra,user,
caixa,c52c2a9855e4afd0,2026-05-07,-95.59,pulseras,Gastos extra actividad,user,
caixa,a62e5c563141fb8d,2026-05-08,-5000.0,2 parte factura,Insonorización,user,
caixa,575fa74808bc61cb,2026-05-11,-138.0,TRF.INTERNACIONAL,Marketing,user,
caixa,691979e133048033,2026-05-15,-1200.32,mesa refrigerada,Equipamiento,user,
caixa,c498a13eee64642b,2026-05-22,-12000.0,parte 2 certifica,Obra,user,
caixa,2fde73816df450a6,2026-05-26,-10000.0,parte 3 certifica,Obra,user,
caixa,ce3629a2a4a36edf,2026-05-27,-2376.21,neveras,Equipamiento,user,
caixa,88ebdc423f0409b0,2026-05-28,-10178.54,ultima parte cert,Obra,user,
caixa,08be8c1e7ed73d57,2026-05-28,-1149.33,software,"Legal, gestión, software",user,
caixa,66fd13555c03de4f,2026-06-02,-579.34,tostadora y grill,Equipamiento,user,
caixa,8be6ea8a82e5faa4,2026-06-05,-10000.0,sonido 1parte,Sonido/Luces,user,
caixa,a6c7a57c9e13fd5d,2026-06-07,4000.0,TRANSFER INMEDIATA,Préstamo socios,user,
caixa,53ef9093e727f946,2026-06-07,5000.0,TRANSFER INMEDIATA,Préstamo socios,user,
caixa,d286f239c1305bf4,2026-06-08,-10000.0,parte 1 certifica,Obra,user,
caixa,b766482fbbb10166,2026-06-08,3000.0,TRASPASO,Préstamo socios,user,
caixa,a94bf5c0106f7c84,2026-06-08,10000.0,TRANSFER INMEDIATA,Obra,user,
caixa,54a85d12d731ab64,2026-06-08,-181.45,pago prezo,"Legal, gestión, software",user,
caixa,85e13bf86bd15a64,2026-06-09,-126.97,CARREF EL PASEO,Equipamiento,user,
caixa,5286f14f331d1b56,2026-06-10,-102.0,RESTAURANTE PLATO,Gastos extra actividad,user,
santander,2a45ee3e294894bf,2026-06-15,-9000.0,Transferencia A Favor De Florente Concepto: Parte 1 Certificación 3,Obra,user,
caixa,33be7d76a2df28bf,2026-06-17,-50.1,DECOFIESTA,Equipamiento,user,
caixa,4213c478e8699a5d,2026-06-19,-32.0,BAZAR CHINO,Equipamiento,user,
caixa,9b1f74cc472ba24f,2026-06-19,-40.0,LICENCIA TAXI Nç,Gastos extra actividad,user,
caixa,070866f0637205f6,2026-06-19,-50.3,AQUALAR PISCINAS,Equipamiento,user,
caixa,221df374fc803959,2026-06-19,-67.41,SUMINISTRSO UNIC,Equipamiento,user,
caixa,b84a5f507155d820,2026-06-23,-49.54,AQUALAR PISCINAS,Equipamiento,user,
caixa,1c17652591ab98e4,2026-06-26,-10.2,BAZAR CHINO,Equipamiento,user,
caixa,30b9ca20627155f1,2026-06-26,-172.62,COCA COLA EUROPAC,COGS,user,
caixa,8f2776b6d56bd4b7,2026-06-27,2000.0,TRASPASO,Movimiento entre cuentas,user,
caixa,b5e743b91edfa0ad,2026-06-30,-25.0,RESTAURANTE PLATO,Gastos extra actividad,user,
caixa,8264773a6ca16025,2026-06-30,-18.0,BAZAR CHINO,Equipamiento,user,
caixa,073c4367dc5c0948,2026-07-01,-605.0,BARTER CONSULTANC,Marketing,user,
caixa,3deed18311fe5b6c,2026-07-02,-37.2,RESTAURANTE PLATO,Gastos extra actividad,user,
santander,0f411e807be33d67,2026-07-02,-3000.0,Su Orden De Imposicion En Contrato A Plazo 0049 7343 30 20000770,Financiero,user,
caixa,1f3a393dc2bbf9f8,2026-07-04,-1.4,"BAZAR VI§ADOR, SL",Equipamiento,user,
caixa,f3c5d7a2c0333aed,2026-07-06,-27.95,REST.BOOKING,Gastos extra actividad,user,
caixa,44328f2e99675e48,2026-07-06,-50.0,BAZAR CHINO,Equipamiento,user,
caixa,dfeb925bed01304c,2026-07-06,-39.3,VENTA LA BLANCA P,Gastos extra actividad,user,
caixa,dbe641da6628ba53,2026-07-07,-6.23,MARKET URB. EL GU,Gastos extra actividad,user,
santander,82b9833228c835a0,2026-07-08,-2371.6,Transferencia Inmediata A Favor De Viento Creativo Concepto Cartel Fachada,Obra,user,
caixa,eca3b41f156ff75d,2026-07-08,1000.0,TRANSFER INMEDIATA,Movimiento entre cuentas,user,
santander,5ca3f2e40eef6295,2026-07-09,-300.14,Transferencia A Favor De Id Hostelería Concepto: Fregadero,Equipamiento,user,
santander,8e51e935cd29dcad,2026-07-09,-5000.0,Transferencia A Favor De Florente Concepto: Parte Deuda,Obra,user,
caixa,bf2f53309dc7461a,2026-07-10,-116.46,LEROY MERLIN JERE,Equipamiento,user,
santander,5666e1605d8d789a,2026-07-13,-4000.0,Transferencia A Favor De Merino Concepto: Pago Merino 1,COGS,user,
santander,befea2f93605acdb,2026-07-13,-9500.0,Disposicion Efectivo En Oficina 7343 En Concepto De Retirada 1,Personal,user,
santander,214433f3131799f0,2026-07-13,-521.0,Transferencia A Favor De Hielo Expresss Concepto: Enviado Por Banco Santander,COGS,user,
santander,7c6ee67890521308,2026-07-13,-4537.5,Transferencia A Favor De Stima 21 Concepto: Honorarios Arquitecto,Arquitectos,user,
santander,62ed4e3c47cfa1a0,2026-07-14,-4000.0,Transferencia A Favor De Melgarejo Concepto: Deuda 1,COGS,user,
santander,886e83d131f9a5c9,2026-07-14,-5000.0,Transferencia A Favor De Aycoa Concepto: Deuda David,Sonido/Luces,user,
santander,70ccf0bb1b00d706,2026-07-14,2850.0,Ingreso En Efectivo De Ybarra Navarrete Francisco De Borja En Concepto De Reingreso En Suc. 0049 7343,Movimiento entre cuentas,user,
santander,7013ad80eb2e5e8a,2026-07-15,3000.0,Su Orden De Disposicion Anticipada Del Contrato A Plazo 0049 7343 30 20000770,Financiero,user,
santander,58b5c8e94d8d86c7,2026-07-15,-100.0,Disposicion Efectivo En Oficina 7343,Personal,user,
santander,eaae7e79bc086a61,2026-07-15,-5000.0,Transferencia A Favor De Viento Creativo Concepto: Enviado Por Banco Santander,Obra,user,
caixa,e8de58c22ba04214,2026-07-16,500.0,TRANSFER INMEDIATA,Movimiento entre cuentas,user,
caixa,66539648781bcce2,2026-07-17,-6.14,FRUTERIA VISTAHER,COGS,user,
caixa,30d034d3e39819a7,2026-07-17,1000.0,TRANSFER INMEDIATA,Movimiento entre cuentas,user,
caixa,b35605b4c329d686,2026-07-17,-165.24,COCA COLA EUROPAC,COGS,user,
caixa,9ec83d26ea04154c,2026-07-17,-249.62,COCA COLA EUROPAC,COGS,user,
santander,b23ab4df43ab875f,2026-07-17,750.0,"Transferencia Inmediata De Javier Manuel Mora Figueroa Borrero, Concepto Reservado 17 Septiembre Javier Mora Figueroa",Ingresos,user,
caixa,b8a41c99c32c2aab,2026-07-20,-73.69,IMPUESTOS AEAT,Impuestos,user,
caixa,3f77da79af400cff,2026-07-20,-5000.0,devolucion presta,Préstamo socios,user,
caixa,58095b5bada56878,2026-07-20,5000.0,TRANSFER INMEDIATA,Movimiento entre cuentas,user,
caixa,533cfad13f6d72c4,2026-07-20,-381.04,COCA COLA EUROPAC,COGS,user,
santander,c0d11fb1348e3e97,2026-07-20,-160.78,"Compra Internet En Doyouspain.com, Castellon De Es, Tarj. :*565836",Gastos extra actividad,user,
santander,90dac95f27c370f1,2026-07-20,-192.39,Transferencia A Favor De Love My Bar Concepto: Cartas,Gastos extra actividad,user,
santander,c2750ce5d36caf47,2026-07-20,-8145.5,Transferencia A Favor De Bs Aislamientos Concepto: Último Pago Bs,Insonorización,user,
santander,1532a7ecc98febcb,2026-07-20,-5000.0,Transferencia A Favor De Merino Concepto: Pago 2 Merino,COGS,user,
santander,e5594ad1fc73b0aa,2026-07-20,-6000.0,Su Orden De Imposicion En Contrato A Plazo 0049 7343 30 20000771,Financiero,user,
santander,e4fc422c0fb0c0b0,2026-07-20,-871.2,Transferencia A Favor De Ignacio Concepto: Cerrajero Muebles,Equipamiento,user,
santander,0be29d34d00b2167,2026-07-20,-700.0,Transferencia Inmediata A Favor De Paco Concepto Formación Cocina,Personal,user,
santander,87fcb89c53952b7c,2026-07-21,-9.57,"Pago Movil En El Jamon 197, Pto Sta Mariaes, Tarj. :*565836",COGS,user,
santander,a891c3fe9c20083c,2026-07-22,-1069.1,Transferencia A Favor De Hielo Express Concepto: Hielos,COGS,user,
santander,a9d131089c5aebbe,2026-07-22,-5000.0,Transferencia A Favor De Melgarejo Concepto: Deuda 2,COGS,user,
santander,c653560e2d8ee25a,2026-07-22,-29.34,"Pago Movil En La Parafarmacia, El Puerto De Es, Tarj. :*565836",Gastos extra actividad,user,
santander,c9ff1006a7d9d757,2026-07-22,-12.9,"Pago Movil En Papeleria Vista, Puerto Santa Es, Tarj. :*565836",Gastos extra actividad,user,
santander,c2af47616b3b1a67,2026-07-23,-43.2,"Pago Movil En Buzo, Cadiz Es, Tarj. :*565836",Gastos extra actividad,user,
santander,73c643d2342c2a67,2026-07-24,-6000.0,Transferencia A Favor De Merino Concepto: Merino 3,COGS,user,
santander,cd3321e60cf3ec32,2026-07-24,-140.0,"Reintegro, Atm:00497343, Puerto De Sanes, Tarj. :*565836",Personal,user,
santander,46735549fc5d97d3,2026-07-24,-609.46,"Recibo Mapfre, Concepto: Recibo:8814545031 Poliza:0742680123590 Del 07072026 Al 07012027 Nif:b22859946 Multirriesgo Segun Consta En Poliza Tef:900822822",Costes Fijos,user,
santander,c4037849893649da,2026-07-24,-12.01,"Pago Movil En Fruteria Vistah, Cadiz Es, Tarj. :*565836",COGS,user,
santander,cf3047cb4f8a1e98,2026-07-27,-12.71,"Pago Movil En Farmacia Vistah, Pto Sta Mariaes, Tarj. :*565836",Gastos extra actividad,user,
santander,f957460a1fde09ed,2026-07-27,-3000.0,Disposicion Efectivo En Oficina 7343,Personal,user,
santander,f7bee0815b6f6be0,2026-07-27,-200.0,Disposicion Efectivo En Oficina 7343 En Concepto De Cambio,Personal,user,
