fecha,dia_semana,flag,barra1_efectivo,barra1_visas,barra1_total,barra1_z,barra1_descuadre,reservados_efectivo,reservados_visas,reservados_total,taquilla_efectivo,taquilla_visas,taquilla_total,total_efectivo,total_visas,total_cierre,total_z,total_descuadre,barras,puerta,fourvenues,otras,total_caja,reservados_importe,listas_total,cajas_refresco,cajas_cerveza,mercaderias_pct,barra_apertura,barra_cierre_sheet,puerta_apertura,puerta_cierre_sheet,inv_socios_copas,inv_socios_chupitos,inv_socios_cervezas,inv_personal_chupitos,inv_personal_copas,inv_personal_djcopas,inv_rpps_copas,inv_total,clientes_noche,media_pax,pico_pax,precio_entrada_eur,entradas_vendidas,botellas_invitacion,fondo_caja_eur,hora_cierre_real,gasto_personal_eur,gasto_personal_pct,comentario
2026-06-26,viernes,,0.0,1765.3,1765.3,1766.7,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.3,1765.3,1766.7,-1.4,1765.3,0.0,0.0,,1765.3,0.0,0,7.0,0.0,13.48,21:30,4:00,,,6.0,11.0,3.0,5.0,,,,25,,80.0,120.0,,,,,4:15,319.13,,"Clientes desde 22:30. Sin servicio de cocina. ~80 pax de media, pico ~120. No hay efectivo, todo visas. Cierre 04:15. Gasto personal 319,125 EUR."
2026-07-03,viernes,,0.0,4465.0,4465.0,4705.9,-240.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4465.0,4465.0,4705.9,-240.9,4465.0,0.0,0.0,,4465.0,0.0,0,17.0,0.0,12.95,21:30,4:00,,,25.0,6.0,,5.0,,,,36,,130.0,190.0,,,,,6:00,584.5,,"Clientes desde 00:30. Sin servicio de cocina. ~130 pax de media, pico ~190. Se deja entrar a partir de las 03:15 a +20 anos. No hay efectivo, todo visas. Cierre 06:00. Gasto personal 584,5 EUR."
2026-07-04,sabado,,313.0,4343.74,4656.74,3971.5,685.24,0.0,450.0,450.0,325.0,2670.0,2995.0,638.0,7463.74,8101.74,7416.5,685.24,4656.74,2995.0,0.0,,8101.74,0.0,0,22.0,1.0,9.5,21:30,6:15,,,20.0,8.0,3.0,,,,,31,,150.0,260.0,15.0,,,,6:45,1059.25,13.1,"Clientes desde 00:30. Hay servicio de cocina que hay que mejorar y organizarse mejor. ~150 pax de media, pico ~260. Puerta 15 EUR con copa. No hay efectivo inicial, se va haciendo con entradas en puerta, cenas y copas. Cierre 06:45. Gasto personal 1.059,25 EUR (13,1%)."
2026-07-06,lunes,,234.0,3597.0,3831.0,3685.5,145.5,0.0,0.0,0.0,120.0,570.0,690.0,354.0,4167.0,4521.0,4375.5,145.5,3831.0,690.0,1135.0,,5656.0,0.0,0,21.0,0.0,12.62,0:00,5:00,,,,,10.0,3.0,2.0,,,15,450.0,300.0,,15.0,,,,5:15,823.25,14.5,"Clientes desde 00:30. Pasan 450 clientes, media 300 personas (pico no anotado). Puerta 15 EUR con copa. No hay efectivo inicial, se va haciendo con entradas y copas. Cierre 05:15. Gasto personal 823,25 EUR (14,5%)."
2026-07-07,martes,,95.5,897.0,992.5,1022.0,-29.5,0.0,0.0,0.0,90.0,200.0,290.0,185.5,1097.0,1282.5,1312.0,-29.5,992.5,290.0,10.0,,1292.5,0.0,0,8.0,0.0,21.04,0:00,4:30,,,7.0,5.0,,3.0,2.0,,,17,170.0,90.0,140.0,10.0,29.0,5.0,214.0,4:30,892.25,69.0,"Clientes desde 01:10. Pasan 170 clientes, media 90, pico ~140. Puerta 10 EUR con copa, 29 entradas. Fondo de caja 214 EUR. 5 botellas de invitacion, por eso la mercaderia da muy alta. Cierre 04:30. Gasto personal 892,25 EUR (69%) por alto gasto de cabina; ya firmado a los trabajadores, pero tener en cuenta DJs si se preve floja la noche."
2026-07-08,miercoles,,320.0,1647.0,1967.0,1852.0,115.0,0.0,150.0,150.0,110.0,620.0,730.0,430.0,2417.0,2847.0,2732.0,115.0,1967.0,730.0,,,2847.0,0.0,0,14.0,1.0,17.49,0:00,5:15,,,8.0,7.0,2.0,5.0,3.0,,,25,247.0,115.0,143.0,10.0,73.0,3.0,279.5,5:30,941.82,33.0,"Clientes desde 01:10. Pasan 247 clientes, media 115, pico ~143. Puerta 10 EUR con copa, 73 entradas. Entran 102 personas de 543 que habia en lista gratis. Fondo de caja 279,5 EUR. 3 botellas de invitacion. Cierre 05:30. Gasto personal 941,82 EUR (33%)."
2026-07-09,jueves,,241.0,1001.0,1242.0,1233.5,8.5,0.0,290.0,290.0,70.0,1070.0,1140.0,311.0,2361.0,2672.0,2663.5,8.5,1242.0,1140.0,340.0,,3012.0,0.0,0,12.0,0.0,13.55,0:00,5:30,0:00,5:00,4.0,6.0,2.0,3.0,1.0,,,16,209.0,140.0,165.0,10.0,114.0,2.0,193.5,5:30,962.25,32.0,"Clientes desde 01:10. Pasan 209 clientes, media 140, pico ~165. Puerta 10 EUR con copa, 114 entradas. Fondo de caja 193,5 EUR. 2 botellas de invitacion. El reservado de Alberto Osuna no viene y los portugueses entran pagando todos entradas y dentro piden 2 botellas a 145 EUR cada una; con los 300 EUR que habian adelantado no se les devuelve ni nada por no reclamarlos ni mencionarlos. Cierre 05:30. Gasto personal 962,25 EUR (32%)."
2026-07-10,viernes,fecha_corregida_hoja_decia_jueves_9,449.5,6815.7,7265.2,6890.3,374.9,0.0,755.0,755.0,135.0,2556.0,2691.0,584.5,10126.7,10711.2,10336.3,374.9,7265.2,2691.0,150.0,,10861.2,0.0,0,30.0,2.0,9.8,0:00,5:50,0:00,4:30,11.0,35.0,8.0,5.0,2.0,,,61,517.0,250.0,320.0,15.0,179.0,,224.5,6:00,1631.75,15.0,"Servicio de cena desde 20:30 con ~50 pax de comensales; hay que darle una vuelta a la cena para dar mejor servicio. Discoteca: clientes desde 00:30. Pasan 517 clientes, media 250, pico ~320. Puerta 15 EUR con copa para ninas +23 y ninos +25; 179 entradas. Fondo de caja 224,5 EUR. Cierre 06:00 (sheet pone 06:60). Gasto personal 1.631,75 EUR (15%). [La hoja decia 'jueves 9 de julio' por error; el usuario confirmo el 14/07/2026 que es viernes 10.]"
2026-07-11,sabado,,502.0,3084.95,3586.95,3727.05,-140.1,150.0,150.0,300.0,165.0,1761.0,1926.0,817.0,4995.95,5812.95,5953.05,-140.1,3586.95,1926.0,0.0,,5812.95,300.0,0,20.0,3.0,12.83,23:30,5:30,0:00,5:15,16.0,29.0,7.0,,,6.0,,58,365.0,110.0,150.0,15.0,128.0,,373.0,5:45,1568.0,27.0,"Servicio de cena desde 20:30 con 20 pax de comensales. Discoteca: clientes desde 00:00. Se gastan 12 tickets de la promocion con Ballantine. Pasan 365 clientes, media 110, pico ~150. Puerta 15 EUR con copa para ninas +24 y ninos +25; 128 entradas. Reservado PISTA 300 EUR. No entra el reservado que habia metido en Fourvenues de 3 botellas. Fondo de caja 373 EUR. Cierre 05:45 debido al poco gasto y a que muchos clientes iban ya bastante bebidos. Gasto personal 1.568 EUR (27%)."
2026-07-13,lunes,,386.0,2270.25,2656.25,2607.25,49.0,0.0,0.0,0.0,135.0,930.0,1065.0,521.0,3200.25,3721.25,3672.25,49.0,2656.25,1065.0,2548.0,,6269.25,0.0,0,21.0,1.0,11.74,0:00,5:30,0:00,5:15,3.0,4.0,2.0,,4.0,6.0,,19,455.0,220.0,375.0,15.0,71.0,,552.5,5:45,1203.5,19.2,"Clientes desde 00:00. Pasan 455 clientes, media 220, pico ~375. Puerta 15 EUR con copa, 71 entradas. No entra el reservado que habia metido en Fourvenues de 1 botella. Fondo de caja 552,5 EUR. Cierre 05:45 debido al poco gasto. Gasto personal 1.203,5 EUR (19,2%)."
