message_id,fecha_email,remitente,asunto,adjunto_original,archivo_local,sha256,bytes,estado,drive_id,notas
<6a68b0ac.b5a1b8ec.d2d84.3e98SMTPIN_ADDED_MISSING@mx.google.com>,2026-07-28,administracion@melgarejoehijos.com,Factura N3487 27/07/2026 DINGUI,Factura N3487 27/07/2026 DINGUI.pdf,2026-07-28_melgarejoehijos_Factura-N3487-27-07-2026-DINGUI.pdf,7b9862ba1a0f5271e7555c229b6e9240ddaca473dcadef3b00b506f58b551ad6,21793,subido_drive,1R3StpjXXDDGxWlMZvQkSoGUW341iUD63,
<VI1PR03MB4397F87442C708C78E3E5DD2B2CB2@VI1PR03MB4397.eurprd03.prod.outlook.com>,2026-07-28,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 23098/26A,FACT23098_26A.pdf,2026-07-28_distribucionesmerino_FACT23098_26A.pdf,3fa5fd681998bf7fc2ff4a15997cfd60f9ecb934990cfac9f18693e0d2b6112d,50753,subido_drive,1OhIjaYVYTnJaw8yXdYKHbWLcVodP4lcF,
<VI1PR03MB4397F87442C708C78E3E5DD2B2CB2@VI1PR03MB4397.eurprd03.prod.outlook.com>,2026-07-28,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 23098/26A,FACT23098_26A_Albaranes.pdf,2026-07-28_distribucionesmerino_FACT23098_26A_Albaranes.pdf,b7131e126728ba098c0349cf37be8c28922b7914216cc690b9b1948f1b473d0c,56783,descartado,,
<AM6PR03MB43900CE4AC7936D15F719D60B2CC2@AM6PR03MB4390.eurprd03.prod.outlook.com>,2026-07-27,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 23066/26A,FACT23066_26A.pdf,2026-07-27_distribucionesmerino_FACT23066_26A.pdf,bcd686691a215b09f07046584c981e9bf06dcfdb32f879175142332c3a81ec21,51509,descargado,,
<AM6PR03MB43900CE4AC7936D15F719D60B2CC2@AM6PR03MB4390.eurprd03.prod.outlook.com>,2026-07-27,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 23066/26A,FACT23066_26A_Albaranes.pdf,2026-07-27_distribucionesmerino_FACT23066_26A_Albaranes.pdf,eafc17c39002e08781abc934615930343961bcc4032516a2f5dcfa0fc3e825eb,73802,descartado,,
<CAC3=CYcf7RxPo-g04txZxOdZMYi0O3Jd535nweQJXjfNitcpbQ@mail.gmail.com>,2026-07-27,Chaver Dj Management <chaverdjmanagement@gmail.com>,FACTURAS DJ CHAVER DINGUI JULIO 2026,_FACTURA DJ CHAVER DINGUI 10 JULIO .pdf,2026-07-27_gmail__FACTURA-DJ-CHAVER-DINGUI-10-JULIO-.pdf,a62ef80ccf728cf68642a71bb4fd424139dc17810d6a900e0fc066e74965ac03,56082,subido_drive,19RbqsgzpV5v-6ge0biVVxJGLLuSvlFRz,
<CAC3=CYcf7RxPo-g04txZxOdZMYi0O3Jd535nweQJXjfNitcpbQ@mail.gmail.com>,2026-07-27,Chaver Dj Management <chaverdjmanagement@gmail.com>,FACTURAS DJ CHAVER DINGUI JULIO 2026,_FACTURA DJ CHAVER DINGUI 25 JULIO .pdf,2026-07-27_gmail__FACTURA-DJ-CHAVER-DINGUI-25-JULIO-.pdf,15692df6c38706018f0a785951d92a5567ac22b4bf3f1a85a9a42282faf0c92d,56316,subido_drive,1O4RgJvd60svE1qwORL822QKZBWw6YMqe,
<AM6PR03MB43906CAC3F736133FD61CF0FB2CC2@AM6PR03MB4390.eurprd03.prod.outlook.com>,2026-07-27,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 22841/26A,FACT22841_26A.pdf,2026-07-27_distribucionesmerino_FACT22841_26A.pdf,2f61aee7fbf574b1d9a9b4ecbf14863a24774598ba1d89d9b6d1e3fbaef6ac57,52764,descargado,,
<AM6PR03MB43906CAC3F736133FD61CF0FB2CC2@AM6PR03MB4390.eurprd03.prod.outlook.com>,2026-07-27,"""info@distribucionesmerino.com"" <info@distribucionesmerino.com>",Adjuntamos las siguientes facturas: 22841/26A,FACT22841_26A_Albaranes.pdf,2026-07-27_distribucionesmerino_FACT22841_26A_Albaranes.pdf,8f0a83771440c572bb97fa630c391ed017bfe51d58a467173795454d58e8ae27,52033,descartado,,
<CAJLN5YuHTa1ndVw6rj2KK9OwzRWVV+80XpuTbNt+=2aMYOBRsw@mail.gmail.com>,2026-07-24,CASTILLA MIGUEL ESTEBAN <castillamiguelesteban@gmail.com>,Re: URGENTE - IMPUESTO SOCIEDADES 2025,NUEVO VH PARA FIRMAR.pdf,2026-07-24_gmail_NUEVO-VH-PARA-FIRMAR.pdf,ec023d5c6b86b2e71dfe3b1d39858da04cf10912f2ac1ee9e5fdd9a6fe43f878,254183,descartado,,
