drive_id,proveedor,fecha_factura,descripcion_original,categoria,tipo_bebida,marca,formato,contenido,unidades,precio_unitario_eur,importe_eur,iva_pct
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,RED BULL ENERGY DRINK (24U),bebida,refresco,Red Bull,caja,24U,10.0,29.3,292.96,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"BALLANTINE`S 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,60.0,11.13,667.9,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"HAVANA RON AÑEJO ORIGEN 0,7L(6U)",bebida,alcohol,Havana Club,botella,70cl,36.0,10.03,361.19,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"BARCELO AÑEJO 0,7L(12U)",bebida,alcohol,Ron Barceló,botella,70cl,60.0,11.21,672.59,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"BEEFEATER GIN 0,7L(6U)",bebida,alcohol,Beefeater,botella,70cl,72.0,11.82,851.18,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"ABSOLUT 0,7L(6U)",bebida,alcohol,Absolut,botella,70cl,36.0,11.19,402.84,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"SEAGRAM`S GIN 0,7L(6U)",bebida,alcohol,Seagram's,botella,70cl,24.0,13.18,316.39,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"PUERTO DE INDIAS GIN FRESA 0,7L(6U)",bebida,alcohol,Puerto de Indias,botella,70cl,18.0,14.43,259.74,21.0
1PqX4CkWx4VwG333L9Xrs77ZWoNPTT3VQ,Miguel Merino Distribuciones SL,2026-07-27,"PUERTO DE INDIAS GIN FRESA 0,7L(6U)",bebida,alcohol,Puerto de Indias,botella,70cl,3.0,0.0,0.0,21.0
13nwrvQC__L9yk03a-AJE77Sf_9uJeHYW,Miguel Merino Distribuciones SL,2026-07-27,"BOLD CREW WHISKY 0,7L(6U)",bebida,alcohol,Bold Crew,botella,70cl,5.0,0.0,0.0,21.0
13nwrvQC__L9yk03a-AJE77Sf_9uJeHYW,Miguel Merino Distribuciones SL,2026-07-27,"M&C BRUT IMPERIAL ICE 0,75L(6U)",bebida,vino,Moët & Chandon,botella,75cl,12.0,45.25,543.0,21.0
1FgKMIMBPgqRQyOO5dzXorc9aORT_mBYy,Jamones La Encina (Javier Quintero),2026-07-13,JAMON COCIDO,comida,,,kg,,16.0,2.6,41.6,10.0
13gUAZGBzbySF05ZH9NJ0IZBn5hqj8pfa,Jamones La Encina (Javier Quintero),2026-07-27,QUESO PAYOYO,comida,,Payoyo,kg,,2.15,28.0,60.2,10.0
13gUAZGBzbySF05ZH9NJ0IZBn5hqj8pfa,Jamones La Encina (Javier Quintero),2026-07-27,JAMON COCIDO,comida,,,kg,,2.78,16.0,44.48,10.0
13gUAZGBzbySF05ZH9NJ0IZBn5hqj8pfa,Jamones La Encina (Javier Quintero),2026-07-27,CHICHARRON CADIZ,comida,,,kg,,1.5,16.0,24.0,10.0
13gUAZGBzbySF05ZH9NJ0IZBn5hqj8pfa,Jamones La Encina (Javier Quintero),2026-07-27,CECINA,comida,,,kg,,1.5,45.0,67.5,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,CUBO GILDA ANCHOA,comida,,,cubo,,6.0,14.5,87.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,CECINA BLACK ANGUS (LOTE L455) 03/01/27,comida,,,ud,,4.0,4.4,17.6,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,GILDA MIXTA CEBOLLITA,comida,,,ud,,3.0,18.0,54.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,BANDERILLAS ATUN Y QUESO,comida,,,ud,,6.0,12.5,75.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,ANCHOAS  R 00,comida,,,ud,,2.0,35.0,70.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,MOJAMA,comida,,,kg,,0.85,49.0,41.65,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,PALETA IBERICA,comida,,,ud,,6.0,12.0,72.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,CHICHARRON DE CAI,comida,,,ud,,6.0,1.6,9.6,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,SARDINAS MENU,comida,,,ud,,4.0,13.0,52.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,MEJILLONES COCIDOS,comida,,,ud,,2.0,22.7,45.4,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,JAMON COCIDO,comida,,,kg,,0.99,16.0,15.84,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,QUESO PAYOYO,comida,,Payoyo,kg,,1.46,28.0,40.88,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,QURSO AMONTILLADO,comida,,,kg,,1.25,28.0,35.0,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,QUESO PIMENTON,comida,,,kg,,1.39,28.0,38.92,10.0
18xlN_sG4DS4zHMXPWqxFFt-Ze0qf-es3,Jamones La Encina (Javier Quintero),2026-07-07,ATUN AHUMADO,comida,,,ud,,3.0,12.5,37.5,10.0
1hlZebkLpTfgbsPXLaWgMSAxgHxZz-5ML,Miguel Merino Distribuciones SL,2026-07-20,"HAVANA RON AÑEJO ORIGEN 0,7L(6U)",bebida,alcohol,Havana Club,botella,70cl,24.0,10.32,247.68,21.0
1hlZebkLpTfgbsPXLaWgMSAxgHxZz-5ML,Miguel Merino Distribuciones SL,2026-07-20,"BALLANTINE`S 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,18.0,11.45,206.1,21.0
1hlZebkLpTfgbsPXLaWgMSAxgHxZz-5ML,Miguel Merino Distribuciones SL,2026-07-20,"SEAGRAM`S GIN 0,7L(6U)",bebida,alcohol,Seagram's,botella,70cl,12.0,13.56,162.72,21.0
1hlZebkLpTfgbsPXLaWgMSAxgHxZz-5ML,Miguel Merino Distribuciones SL,2026-07-20,"ABSOLUT 0,7L(6U)",bebida,alcohol,Absolut,botella,70cl,6.0,11.51,69.06,21.0
1hlZebkLpTfgbsPXLaWgMSAxgHxZz-5ML,Miguel Merino Distribuciones SL,2026-07-20,"BEEFEATER GIN 0,7L(6U)",bebida,alcohol,Beefeater,botella,70cl,24.0,12.16,291.84,21.0
18dLtvoCjQOjFztvrEaVh7YH5keugm4Kw,Miguel Merino Distribuciones SL,2026-07-21,"034851 -12 OLMECA ALTOS REPOSADO TEQUILA 0,7L(6U) 21,64 21,64 -259,68 21",bebida,alcohol,Olmeca Altos,botella,70cl,-12.0,21.64,-259.68,21.0
18dLtvoCjQOjFztvrEaVh7YH5keugm4Kw,Miguel Merino Distribuciones SL,2026-07-21,"034851 12 OLMECA ALTOS REPOSADO TEQUILA 0,7L(6U) 10,37 10,37 124,44 21",bebida,alcohol,Olmeca Altos,botella,70cl,12.0,10.37,124.44,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,RED BULL ENERGY DRINK (24U),bebida,refresco,Red Bull,caja,24U,6.0,29.3,175.78,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"ABSOLUT 0,7L(6U)",bebida,alcohol,Absolut,botella,70cl,24.0,11.51,276.24,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"SEAGRAM`S GIN 0,7L(6U)",bebida,alcohol,Seagram's,botella,70cl,24.0,13.56,325.44,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"OLMECA ALTOS REPOSADO TEQUILA 0,7L(6U)",bebida,alcohol,Olmeca Altos,botella,70cl,18.0,21.64,389.52,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"M&C BRUT IMPERIAL 0,75L(6U)",bebida,vino,Moët & Chandon,botella,75cl,6.0,34.6,207.6,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"BALLANTINE`S 0,7L(6U)",bebida,alcohol,Ballantine's,botella,70cl,48.0,11.45,549.6,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"BEEFEATER GIN 0,7L(6U)",bebida,alcohol,Beefeater,botella,70cl,42.0,12.16,510.72,21.0
12G3CEE8bjN9RixJpje6HxQktPsnrEtIg,Miguel Merino Distribuciones SL,2026-07-20,"J.WALKER BLACK 0,7L(6U)",bebida,alcohol,Johnnie Walker,botella,70cl,6.0,21.47,128.82,21.0
