drive_id,drive_url,carpeta_mes,nombre_archivo,mime_type,modified_time,proveedor,cif,num_factura,fecha_factura,base_imponible_eur,iva_eur,total_eur,categoria,contiene,n_lineas_fb,estado,procesado_at,notas,pago_fecha,pago_banco,pago_concepto,pago_estado
1XoNBmTKCa1y0rfQb5nmXIDiUNqW90VVz,https://drive.google.com/file/d/1XoNBmTKCa1y0rfQb5nmXIDiUNqW90VVz/view?usp=drivesdk,Facturas 1ertrimestre 26,T42575_Discoteca_Dingui_1.pdf,application/pdf,2026-04-17T10:59:40.368Z,"STIMA21 INGENIEROS, S.L.U.",B-72098833,T42575,2025-12-22,2500.0,525.0,3025.0,otros,Honorarios de ingeniería: redacción de proyecto básico y de ejecución de adecuación de local destinado a discoteca en El Puerto de Santa María (Cádiz),0,procesada,2026-07-29,"Cliente: Nuevo VH, S.L. (CIF B22859946). Factura de honorarios del pago adelantado de fecha 17/07/2025. Referencia 25051562.02, obra 'Proyecto discoteca Dingui'. IVA 21%. Forma de pago: transferencia bancaria (BBVA), vencimiento 22/12/2025. Fecha de factura (22/12/2025) anterior al trimestre de la carpeta 'Facturas 1ertrimestre 26'.",2026-04-17,caixa,redaccion proyect,conciliado
1437GtDRxMUf6ODCU_4piBz_2f9-RPawZ,https://drive.google.com/file/d/1437GtDRxMUf6ODCU_4piBz_2f9-RPawZ/view?usp=drivesdk,Facturas 1ertrimestre 26,Fra.cuotas comunidad 4T25 LC21.pdf,application/pdf,2026-01-27T09:11:56Z,REALMIVO S.L.,B-09.664.194,01/26,2026-01-01,595.08,124.97,720.05,otros,"Cuotas ordinarias de comunidad de propietarios del Centro Comercial Vistahermosa (Avda. Juan Melgarejo 10, Local 21) correspondientes a octubre, noviembre y diciembre 2025, según cláusula 8.1 del contrato de arrendamiento firmado el 30/09/2025",0,procesada,2026-07-29,"Factura emitida por el arrendador REALMIVO S.L. al arrendatario NUEVO VH S.L. (CIF B-22.859.946). IVA 21%. Gasto de local (comunidad), sin líneas de consumo.",2026-02-10,caixa,cuota cominidad,conciliado
10Kl5Ow0TUTE-6tD5ktFFfVJ76TPKx2rg,https://drive.google.com/file/d/10Kl5Ow0TUTE-6tD5ktFFfVJ76TPKx2rg/view?usp=drivesdk,Facturas 1ertrimestre 26,Factura de Cargo nº 2026.C.250 .pdf,application/pdf,2026-04-20T09:02:24Z,"Laboratorios Cogesur, S.L.",B72081706,2026.C.250,2026-01-31,270.0,56.7,326.7,otros,"Servicio técnico: prueba de carga estructural con depósitos de agua (500 kg/m2, 4 escalones, ~28 m2) con medición de flechas en CC Vistahermosa Fase 3",0,procesada,2026-07-29,"Factura de servicios, no consumo. Emisor identificado desde texto rotado en margen del PDF (Laboratorios Cogesur S.L., CIF B72081706). Cliente: NUEVO VH, S.L. (CIF B22859946, cliente nº 5392). Expte. 15414, presupuesto 29337. Línea única EHA-0007: 0,20 ud x 1.350,00 = 270,00 EUR. Pago por transferencia Bankinter IBAN ES26 0128 0734 7701 0002 5365. Cache: /Users/luismdecarvajal/Desktop/dingui_kpis/data/facturas/cache/10Kl5Ow0TUTE-6tD5ktFFfVJ76TPKx2rg.pdf",2026-02-05,caixa,tecnico,conciliado
1fZ2nrgQdac05mE6iJJlVpyb07jtMABDR,https://drive.google.com/file/d/1fZ2nrgQdac05mE6iJJlVpyb07jtMABDR/view?usp=drivesdk,Facturas 1ertrimestre 26,13-Nuevo VH SL.pdf,application/pdf,2026-02-05T16:30:02Z,REALMIVO S.L.,B09664194,13/26,2026-02-01,1898.36,398.66,2297.02,otros,"Arrendamiento local comercial nº 21 CC Vistahermosa (Av. Juan Melgarejo, El Puerto de Santa María) mes de febrero 2026 (1.700,00 EUR) + cuota ordinaria comunidad de propietarios enero 2026 (198,36 EUR)",0,procesada,2026-07-29,"Factura de alquiler del local, no de consumo. IVA 21%. Emisor REALMIVO S.L. (arrendador); arrendatario NUEVO VH S.L. (CIF B22859946). Pago por transferencia a ES57 0049 7343 7125 1000 9481. PDF guardado en data/facturas/cache/1fZ2nrgQdac05mE6iJJlVpyb07jtMABDR.pdf",2026-02-12,caixa,alquiler febrero,conciliado
1yXFndWkOXkEZgciHPVQpjPTmRwzN0tHm,https://drive.google.com/file/d/1yXFndWkOXkEZgciHPVQpjPTmRwzN0tHm/view?usp=drivesdk,Facturas 1ertrimestre 26,20260409090023.pdf,application/pdf,2026-04-09T07:43:45Z,"Legal V35, S.L. (Notaría M. Pilar López-Contreras) + Registro Mercantil de Cádiz",B87595112,A 209 / A 210 / G 19 / DOC5/2026/1398 / BORME/2026/1519,2026-02-16,1314.98,276.15,1629.45,otros,"Expediente de provisión de fondos por ampliación de capital de NUEVO VH SL: hoja de provisión (2.100 EUR), 3 facturas de la notaría Legal V35 SL (A 209: 737,44 EUR; A 210: 180,96 EUR; G 19 gestión: 250,00 EUR), minuta del Registro Mercantil de Cádiz DOC5/2026/1398 (432,33 EUR), factura BORME/2026/1519 (28,72 EUR) y justificante de transferencia Santander de devolución de saldo (524,15 EUR)",0,procesada,2026-07-29,"PDF escaneado sin capa de texto, 14 páginas (varias en blanco), leído por OCR visual. Es un paquete con VARIAS facturas de servicios notariales/registrales (aumento de capital, protocolos 209-26 y 210-26), no una factura única de comida/bebida. Cabecera agregada: base imponible 1.314,98 EUR = 603,50 + 147,57 + 206,61 + 357,30; IVA 21% total 276,15 EUR = 126,74 + 30,99 + 43,39 + 75,03; ademas 9,60 EUR de suplidos no sujetos a IVA y 28,72 EUR de BORME sin IVA. Suma facturas 1.629,45 EUR; importe neto liquidado segun hoja de provision 1.575,85 EUR (aplica retencion IRPF -53,60 EUR en la minuta del Registro). Fechas de factura: 16/02/2026 (A 209 y A 210), 19/02/2026 (G 19), 11/03/2026 (Registro y BORME). CIF indicado = Legal V35 SL (emisor principal); Registro Mercantil de Cádiz: Rodriguez y Capitán CB, CIF E21723051. Cliente: NUEVO VH SL, CIF B22859946. | Pagada vía provisión 2.100 (19/2); factura 1.629,45 → SOBRANTE 470,55 sin justificar (¿devolución pendiente de la notaría?).",2026-02-19,caixa,209-2026Nuevo Vh −2.100 provisión de fondos,conciliado
1l04lKVVYftHafOAJvetrKsjcgeyfv7bN,https://drive.google.com/file/d/1l04lKVVYftHafOAJvetrKsjcgeyfv7bN/view?usp=drivesdk,Facturas 1ertrimestre 26,FACTURA 398.pdf,application/pdf,2026-02-19T11:04:04Z,"SAEZ & BENITO ASOCIADOS, S.L.",B85347110,26/00398,2026-02-19,166.48,34.96,495.0,otros,"Solicitud de registro de Marca Nacional nº 4364314 'Dingui' en clases 35, 41 y 43 del Nomenclátor Internacional (agencia de propiedad industrial)",0,procesada,2026-07-29,"El total incluye 293,56 EUR de tasas oficiales (suplido no sujeto a IVA): 293,56 + 166,48 + 34,96 (IVA 21%) = 495,00. Observaciones: recibida transferencia bancaria. Cliente: NUEVO VH S.L., CIF B22859946, Avda. Juan Melgarejo 10, 11500 El Puerto de Santa María (Cádiz).",2026-02-19,caixa,registro,conciliado
1md8kXS63YZRabHg85r6C-ML7_UYbEL3P,https://drive.google.com/file/d/1md8kXS63YZRabHg85r6C-ML7_UYbEL3P/view?usp=drivesdk,Facturas 1ertrimestre 26,FACTURA NUEVO VH.pdf,application/pdf,2026-02-23T17:40:47Z,"PALERMO LEGAL, SL",B13906896,04/2026,2026-02-23,750.0,157.5,907.5,otros,Asesoramiento juridico ampliacion de capital; revision y asesoramiento en el pacto de socios; redaccion contrato de prestamo,0,procesada,2026-07-29,Servicios juridicos facturados a NUEVO VH SL (B22859946). IVA 21%. Pago por transferencia bancaria. Sin lineas de consumo (categoria otros).,2026-02-26,caixa,factura 4,conciliado
18C1avforJhvUJZcinRYPO60DIfNzxICk,https://drive.google.com/file/d/18C1avforJhvUJZcinRYPO60DIfNzxICk/view?usp=drivesdk,Facturas 1ertrimestre 26,NUEVO VH SL (DISCOTECA) PPSTO 35-26 ULTIMO.pdf,application/pdf,2026-02-26T12:28:06Z,NUEVO VH S.L.,B22859946,PRESUPUESTO Nº 0035/26,2026-02-24,40118.0,8424.78,48542.78,otros,"Presupuesto de instalación de climatización: 2 equipos de aire acondicionado por conductos Mundoclima MUCHR-96-H14T, recuperador térmico Mundoclima mureco 6000 EC-H, caja/extractor Sodeca SVE/PLUS/EW-100/H, difusores rotacionales, rejillas, conductos de fibra, grúa y mano de obra",0,no_factura,2026-07-29,"No es factura: es un PRESUPUESTO (Nº 0035/26, fecha 24.02.2026) emitido por NUEVO VH S.L. al cliente MANTENIMIENTOS SÁNCHEZ YUSTE 2021 SL (B06906341) para la sala en Av. Juan Melgarejo 10 LC. 21, El Puerto de Santa María. Importes: subtotal 40.118,00 EUR + 21% IVA 8.424,78 EUR = 48.542,78 EUR IVA incluido. Forma de pago 50% adelantado. Equipamiento/servicios (categoria otros), sin lineas de comida/bebida.",,,,no_encontrado
1pyLE5Dm00AlfgP7ZZFv3gm9s8FkNZp38,https://drive.google.com/file/d/1pyLE5Dm00AlfgP7ZZFv3gm9s8FkNZp38/view?usp=drivesdk,Facturas 1ertrimestre 26,Factura de Cargo nº 2026.C.277 .pdf,application/pdf,2026-02-26T08:46:40Z,"LABORATORIOS COGESUR, S.L.",B72081706,2026.C.277,2026-02-26,1080.0,226.8,1306.8,otros,"Prueba de carga estructural mediante depósitos de agua en CC Vistahermosa Fase 3 (zona para local de pública concurrencia 500Kg/m², 4 escalones de carga, ~28m²) con medición de flechas de deformación; desplazamiento de técnico y laborantes",0,procesada,2026-07-29,"Servicio técnico de laboratorio de construcción (Expte. 15414, Presupuesto 29337). Cliente: NUEVO VH, S.L. (NIF B22859946). Firma digital de LABORATORIOS COGESUR SL fechada 26/02/2026. IVA 21%. No es factura de comida/bebida, por lo que no se extraen líneas de consumo.",2026-02-26,caixa,factura 277,conciliado
1J-fKsARN8lMyXOA_JkYwPnJ25DsGIA9T,https://drive.google.com/file/d/1J-fKsARN8lMyXOA_JkYwPnJ25DsGIA9T/view?usp=drivesdk,Facturas 1ertrimestre 26,24-Nuevo V.H.SL.pdf,application/pdf,2026-03-16T20:23:09Z,REALMIVO S.L.,B09664194,24/26,2026-03-01,1898.36,398.66,2297.02,otros,"Arrendamiento local comercial nº 21 CC Vistahermosa (marzo, 1.700,00 EUR) + cuota ordinaria comunidad de propietarios febrero 2026 (198,36 EUR)",0,procesada,2026-07-29,"Factura de alquiler emitida por REALMIVO S.L. (arrendador) a NUEVO VH S.L. (arrendatario, Dingui). IVA 21%. Pago por transferencia a ES57 0049 7343 7125 1000 9481. PDF cacheado en /Users/luismdecarvajal/Desktop/dingui_kpis/data/facturas/cache/1J-fKsARN8lMyXOA_JkYwPnJ25DsGIA9T.pdf",2026-03-18,caixa,REALMIVO SL.,conciliado
